10	46303
20	263054
30	303762
40	731841
50	713851
60	395956
70	511806
80	667023
90	790805
100	1071229
110	1396363
120	1790225
130	2321109
140	3096803
150	3512922
160	4244130
170	5011238
180	6002523
190	6987780
200	8290945
210	9399770
220	10871002
230	12616108
240	14149987
250	15961189
260	18170190
270	22128778
280	22051381
290	24820974
300	28084093
310	30426601
320	32967524
330	35921981
340	38951103
350	43388898
360	46065960
370	50116567
380	54061864
390	59758300
400	63251842
410	67842748
420	74324677
430	78491973
440	84438880
450	89504058
460	95697446
470	102295295
480	109081767
490	115268844
500	122706196
