100	2533459
110	512759
120	555334
130	635999
140	806809
150	853937
160	1492904
170	1309141
180	1513470
190	1700572
200	2057796
210	2292126
220	2694768
230	2984926
240	3396799
250	3876648
260	4462823
270	4807844
280	5601790
290	6132331
300	6574316
310	7369496
320	8172957
330	8713679
340	9671780
350	10342042
360	11800877
370	12955764
380	13229594
390	14382267
400	15151851
410	17280210
420	17625164
430	19913623
440	20042457
450	22328359
460	22872343
470	24682807
480	26534958
490	27748709
500	31565061
