10	67682	385200
20	502620	390075
30	466204	857445
40	534110	2200994
50	253841	632612
60	345995	799303
70	840849	7611989
80	1324218	5483197
90	1235943	3199890
100	1327430	2805232
110	1756200	2537425
120	2257538	2576029
130	2765948	19824220
140	3561869	19128351
150	4230290	18304282
160	5118967	17387138
170	6534293	18624660
180	7778399	17560781
190	13440845	18570887
200	11631653	17522047
210	13699515	17330682
220	16595109	17427807
230	19342842	17468738
240	23220630	17860512
250	29592142	20010010
260	33008697	131321555
270	39003674	132312544
280	42148875	128698511
290	46772270	129911761
300	54009251	130392407
310	60445108	128684893
320	65939869	129862195
330	72543918	129691938
340	76031154	129799160
350	85867088	130364637
360	95293256	130085069
370	102820861	131314130
380	111543766	132157726
390	121783781	130862398
400	132208544	132302294
410	141270879	134013948
420	153193906	132433450
430	162296968	133336203
440	180057632	135070633
450	187789404	133514688
460	201763261	131905652
470	216649828	134409029
480	260991253	133059221
490	249614790	133293945
500	319143282	133496875
