100	2975345
110	1897909
120	2442278
130	2823211
140	3637170
150	4418706
160	5861575
170	6738787
180	8545306
190	14269463
200	12281313
210	14151457
220	16404925
230	19163754
240	23960449
250	27799024
260	32078762
270	36882989
280	41978194
290	46415734
300	53365686
310	59235081
320	66921849
330	71312292
340	83193558
350	86139797
360	96390572
370	104022396
380	119457346
390	125078585
400	141320300
410	141510240
420	174741583
430	195795500
440	200215680
450	217894406
460	261167532
470	287487506
480	391658120
490	491156464
500	424572278
