Characteristic, Degree, Polynomial, GeneratedPolynomials, NoOfTestsWithRabin
2, 13, x^13 + x^11 + x^9 + x^7 + x^6 + x^4 + x^2 + x + 1, 7, 7
3, 24, x^24 + x^22 + x^21 + x^18 + 2x^17 + x^16 + 2x^15 + 2x^14 + x^12 + 2x^10 + 2x^9 + x^8 + 2x^7 + 2x^5 + 2x^4 + x^2 + 2x + 2, 6, 6
2, 50, x^50 + x^49 + x^46 + x^41 + x^36 + x^35 + x^34 + x^33 + x^29 + x^25 + x^20 + x^19 + x^17 + x^12 + x^11 + x^9 + x^7 + x^5 + x^4 + x + 1, 55, 55
5, 29, x^29 + 3x^28 + 4x^27 + 4x^26 + 3x^25 + 4x^24 + 4x^23 + 2x^22 + x^21 + x^20 + 2x^19 + 2x^18 + x^16 + 4x^15 + x^13 + 2x^12 + 3x^10 + 2x^9 + 3x^8 + 2x^7 + 3x^5 + 4x^4 + 4x^3 + 2x^2 + 2x + 3, 7, 7
7, 85, x^85 + 3x^84 + 5x^83 + 4x^82 + 4x^81 + 5x^80 + x^79 + x^78 + 4x^76 + 3x^75 + 6x^74 + x^71 + 6x^70 + 4x^69 + 4x^68 + 6x^67 + 5x^66 + 4x^63 + x^62 + 3x^61 + 6x^60 + 3x^59 + 6x^57 + 3x^56 + 4x^55 + 5x^54 + 3x^53 + 6x^52 + 5x^51 + 4x^50 + 4x^49 + x^48 + 6x^47 + 6x^46 + x^45 + x^44 + x^43 + 4x^42 + x^41 + 2x^40 + 3x^39 + 2x^38 + 6x^37 + 5x^36 + 5x^35 + 3x^32 + 2x^31 + x^30 + 3x^29 + x^28 + 3x^27 + 4x^26 + 3x^25 + 4x^23 + 2x^22 + 3x^21 + 3x^20 + x^19 + 6x^18 + 5x^17 + 3x^16 + x^15 + x^14 + 3x^13 + x^12 + 4x^11 + 6x^10 + 2x^9 + 3x^8 + x^6 + 3x^4 + 6x^3 + x^2 + x + 3, 49, 49
2, 112, x^112 + x^111 + x^108 + x^106 + x^103 + x^100 + x^99 + x^97 + x^96 + x^95 + x^94 + x^93 + x^90 + x^88 + x^87 + x^86 + x^81 + x^80 + x^79 + x^78 + x^76 + x^72 + x^69 + x^67 + x^65 + x^64 + x^62 + x^60 + x^56 + x^52 + x^51 + x^50 + x^49 + x^48 + x^46 + x^45 + x^44 + x^40 + x^38 + x^36 + x^32 + x^30 + x^29 + x^21 + x^20 + x^19 + x^18 + x^13 + x^11 + x^9 + x^6 + x^5 + 1, 178, 178
3, 102, x^102 + x^100 + x^99 + 2x^98 + 2x^97 + 2x^96 + x^95 + x^94 + 2x^93 + 2x^92 + x^90 + 2x^88 + 2x^87 + x^86 + x^84 + x^82 + x^81 + x^80 + x^79 + 2x^78 + 2x^77 + x^75 + 2x^74 + 2x^73 + 2x^72 + x^70 + 2x^69 + 2x^68 + x^66 + 2x^65 + 2x^64 + x^63 + 2x^62 + 2x^61 + 2x^60 + x^59 + 2x^58 + 2x^56 + x^55 + x^54 + x^53 + 2x^52 + x^51 + x^48 + x^47 + 2x^46 + x^45 + 2x^42 + 2x^41 + 2x^36 + x^35 + x^33 + x^32 + x^28 + 2x^26 + 2x^25 + 2x^24 + 2x^19 + 2x^17 + x^16 + 2x^15 + x^14 + 2x^13 + 2x^12 + x^11 + 2x^10 + x^9 + x^8 + x^7 + 2x^6 + 2x^5 + 2x^4 + x^3 + 2x^2 + 2x + 1, 71, 71
11, 55, x^55 + 10x^53 + 8x^52 + 6x^51 + 2x^50 + 4x^49 + 4x^48 + 3x^47 + 3x^45 + 2x^44 + 5x^43 + 8x^42 + 3x^41 + 5x^40 + 2x^39 + 3x^38 + 2x^37 + 2x^36 + 3x^35 + 6x^34 + 2x^33 + 10x^32 + 6x^31 + 6x^30 + 6x^29 + 8x^28 + 8x^27 + 8x^26 + 8x^25 + 2x^24 + 8x^23 + 3x^22 + 7x^21 + x^20 + 8x^19 + 7x^18 + 2x^17 + 5x^15 + 5x^14 + 9x^13 + x^12 + 4x^11 + 2x^10 + x^9 + 4x^8 + 10x^7 + x^5 + 9x^4 + 10x^2 + 5x + 8, 30, 30
