Algoritmien suorituskykytestaus.
      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
-------- INTROSORT -------
0,0
100000,54
200000,31
300000,42
400000,57
500000,75
600000,89
700000,102
800000,122
900000,134
1000000,152
1100000,163
1200000,182
1300000,197
1400000,212
1500000,232
1600000,247
1700000,264
1800000,274
1900000,301
2000000,311
2100000,322
2200000,335
2300000,361
2400000,372
2500000,384
2600000,410
2700000,420
2800000,448
2900000,478
3000000,476
3100000,491
3200000,514
3300000,536
3400000,543
3500000,560
3600000,583
3700000,596
3800000,626
3900000,664
4000000,688
4100000,665
4200000,682
4300000,712
4400000,712
4500000,723
4600000,748
4700000,776
4800000,784
4900000,808
5000000,824
5100000,836
5200000,871
5300000,874
5400000,917
5500000,924
5600000,929
5700000,947
5800000,991
5900000,981
6000000,1029
6100000,1016
6200000,1069
6300000,1097
6400000,1080
6500000,1105
6600000,1121
6700000,1139
6800000,1219
6900000,1192
7000000,1219
7100000,1374
7200000,1234
7300000,1281
7400000,1279
7500000,1289
7600000,1270
7700000,1310
7800000,1333
7900000,1352
8000000,1349
8100000,1382
8200000,1387
8300000,1419
8400000,1391
8500000,1434
8600000,1420
8700000,1448
8800000,1466
8900000,1483
9000000,1517
9100000,1585
9200000,1558
9300000,1728
9400000,1569
9500000,1581
9600000,1626
9700000,1618
9800000,1660
9900000,1661
10000000,1694
-------- MERGESORT -------
0,0
100000,78
200000,53
300000,85
400000,123
500000,219
600000,182
700000,230
800000,233
900000,299
1000000,296
1100000,359
1200000,360
1300000,403
1400000,417
1500000,463
1600000,489
1700000,527
1800000,559
1900000,582
2000000,631
2100000,663
2200000,680
2300000,746
2400000,748
2500000,801
2600000,816
2700000,865
2800000,888
2900000,938
3000000,949
3100000,1005
3200000,1021
3300000,1084
3400000,1109
3500000,1177
3600000,1183
3700000,1229
3800000,1267
3900000,1313
4000000,1321
4100000,1357
4200000,1395
4300000,1437
4400000,1482
4500000,1494
4600000,1554
4700000,1592
4800000,1631
4900000,1643
5000000,1713
5100000,1845
5200000,1792
5300000,1824
5400000,1851
5500000,1869
5600000,1939
5700000,2084
5800000,1994
5900000,2002
6000000,2225
6100000,2099
6200000,2148
6300000,2422
6400000,2282
6500000,2388
6600000,2306
6700000,2359
6800000,2503
6900000,2421
7000000,2437
7100000,2448
7200000,2541
7300000,2570
7400000,2607
7500000,2645
7600000,2648
7700000,2724
7800000,2716
7900000,2728
8000000,2781
8100000,2828
8200000,2862
8300000,2873
8400000,2939
8500000,2982
8600000,3036
8700000,3090
8800000,3089
8900000,3150
9000000,3205
9100000,3210
9200000,3269
9300000,3286
9400000,3295
9500000,3325
9600000,3378
9700000,3407
9800000,3428
9900000,3509
10000000,3564
-------- SMOOTHSORT -------
0,0
100000,50
200000,56
300000,88
400000,120
500000,157
600000,194
700000,231
800000,273
900000,317
1000000,364
1100000,412
1200000,459
1300000,508
1400000,560
1500000,618
1600000,672
1700000,723
1800000,783
1900000,840
2000000,898
2100000,957
2200000,1014
2300000,1074
2400000,1136
2500000,1212
2600000,1263
2700000,1328
2800000,1383
2900000,1449
3000000,1510
3100000,1617
3200000,1644
3300000,1718
3400000,1785
3500000,1844
3600000,1923
3700000,2007
3800000,2044
3900000,2125
4000000,2427
4100000,2571
4200000,2396
4300000,2468
4400000,2712
4500000,2608
4600000,2645
4700000,2754
4800000,2789
4900000,2911
5000000,2959
5100000,3006
5200000,3060
5300000,3126
5400000,3254
5500000,3666
5600000,3664
5700000,3728
5800000,3830
5900000,4001
6000000,4066
6100000,4142
6200000,4165
6300000,4263
6400000,4346
6500000,4442
6600000,4552
6700000,4602
6800000,4672
6900000,4764
7000000,4837
7100000,4947
7200000,5045
7300000,5149
7400000,5181
7500000,5278
7600000,5383
7700000,5497
7800000,5567
7900000,5632
8000000,5714
8100000,5797
8200000,5900
8300000,5982
8400000,6109
8500000,6170
8600000,6270
8700000,6379
8800000,6455
8900000,6607
9000000,6666
9100000,6706
9200000,6815
9300000,6960
9400000,7212
9500000,7081
9600000,7198
9700000,7295
9800000,7348
9900000,7467
10000000,7540
