testiaineisto: 1000:1000:1:1:2:1 esteitä, akseliensuuntainen, 500:5, ennen rehash
polun pituus	aika ms
293	7	10242
1011	214	167589
1030	258	167270
763	81	74611
376	15	19997
726	68	68438
587	42	49561
873	115	96760
463	23	29647
1024	127	123041
796	112	101445
499	30	35477
751	72	76909
1052	196	167893
335	10	13896
665	70	66591
257	7	11262
364	16	23462
333	11	15801
229	6	10399
1065	211	178104
961	163	116983
1056	210	151392
800	102	94336
1075	169	157943
1579	857	419247
1120	287	185388
990	229	146271
432	22	24577
8	0	15
237	11	16525
521	32	38183
385	13	19289
863	122	96799
797	102	86649
377	15	19969
242	5	8031
458	25	28311
1140	171	159076
581	47	49343
132	1	1925
707	69	69735
675	76	72302
740	65	69083
1336	360	253747
1019	198	169945
554	34	39217
862	112	103401
924	173	140277
380	18	20490
401	16	21972
148	1	2790
704	67	63414
956	173	147822
97	0	1310
1224	561	302380
915	131	122927
1229	357	243460
354	13	17620
812	84	87209
206	3	5571
775	110	102559
729	64	66894
741	87	79121
858	126	119048
889	159	135355
167	2	3643
743	161	128279
537	47	51903
145	1	2712
347	16	15493
360	16	22579
257	5	9078
1211	396	227278
509	31	36027
347	13	17377
516	38	46226
429	20	26643
574	47	48370
327	11	16117
1030	136	135519
342	13	18860
1086	215	178237
1059	265	173272
221	4	7156
172	2	3449
611	89	87729
258	6	10169
1096	274	201067
394	21	26837
539	34	40918
486	25	31714
678	64	68388
509	40	48455
543	36	39623
291	9	13171
785	100	98215
647	60	62769
1087	277	180015
660	62	64125
675	108	102659
783	89	90039
598	42	45105
819	108	98324
1050	230	182856
547	42	44875
582	37	41678
960	186	143801
445	23	28046
1054	202	164320
326	10	14387
780	92	88470
317	22	27389
709	86	82318
216	9	12705
677	53	58153
773	84	81307
107	1	1851
897	165	126377
58	1	1933
357	14	19714
648	58	62779
375	14	17921
439	25	31513
867	150	114159
497	31	38439
1436	566	334100
1052	220	174627
782	89	92984
495	25	32116
959	269	203861
666	78	79389
1233	357	251728
1210	349	229595
455	19	23307
449	22	28164
578	42	44797
518	35	38252
1153	306	192740
951	142	109896
748	93	86309
346	12	16748
299	9	12912
508	29	35297
433	21	26977
859	117	96310
598	45	53222
604	41	46640
794	72	73191
436	23	29536
232	4	7148
997	155	145570
1039	141	136358
746	80	76387
824	118	108480
1153	341	221447
879	170	132018
214	3	5325
1047	202	172423
1099	249	187067
107	1	1981
668	60	63420
449	18	23949
143	2	3060
491	56	59053
209	4	5234
