Lahtotiedosto	Kuvan koko		KESKIMAARAINEN	ratkaisuaika	(ms)		PIENIN	ratkaisuaika (ms)	polunpituus	(aikayksikkoa)				0,00025
	vaaka	pysty	Astar/aika	Astar/n	Dijkstra/aika	Dijkstra/n	Astar	Dijkstra	Astar	Dijkstra	n	m		
eiEsteita001.bmp	300	200	14	7	89	7	10	30	170	170	60000	119500	630989,0744	157,7472686
eiEsteita002.bmp	450	300	40	7	82	7	20	70	255	255	135000	269250	1516342,367	379,0855918
eiEsteita003.bmp	600	400	59	7	333	7	40	140	340	340	240000	479000	2817121,185	704,2802962
eiEsteita004.bmp	750	500	167	7	524	7	80	220	425	425	375000	748750	4548555,912	1137,138978
eiEsteita005.bmp	900	600	590	7	1109	7	100	380	510	510	540000	1078500	6722386,67	1680,596667
eiEsteita006.bmp	1050	700	692	7	1569	7	298	760	595	595	735000	1468250	9348176,386	2337,044096
eiEsteita007.bmp	1200	800	741	7	2551	7	437	1267	680	680	960000	1918000	12433996,22	3108,499056
